id    source    source_cleaned    popularity
959    aerostatics    aerostatics    15
960    aerostation    aerostation    12
961    aerotechnical    aerotechnical    12
962    aerotherapeutics    aerotherapeutics    10
963    aerotherapy    aerotherapy    15
964    aerothermodynamics    aerothermodynamics    10
965    aery    aery    20
966    Aesop    aesop    44
967    aesthete    aesthete    29
968    aesthetic    aesthetic    409
969    aesthetical    aesthetical    25
970    aesthetician    aesthetician    25
971    aestheticism    aestheticism    29
972    aesthetics    aesthetics    90
973    aestival    aestival    19
974    aestivate    aestivate    12
975    aetiological    aetiological    19
976    aetiology    aetiology    17
977    aetites    aetites    13
978    aetna    aetna    0
979    afar    afar    154
980    afeard    afeard    38
981    afebrile    afebrile    45
982    afer    afer    163
983    affability    affability    29
984    affable    affable    133
985    affableness    affableness    16
986    affably    affably    22
987    affair    affair    1769
988    affect    affect    2407
989    affectation    affectation    76
990    affected    affected    599
991    affectedly    affectedly    43
992    affectedness    affectedness    23
993    affecter    affecter    25
994    affecting    affecting    111
995    affectingly    affectingly    13
996    affection    affection    1032
997    affectionate    affectionate    724
998    affectionately    affectionately    161
999    affectioned    affectioned    29
1000    affective    affective    98
1001    affectively    affectively    24
1002    affector    affector    18
1003    affeer    affeer    20
1004    afferent    afferent    31
1005    affiance    affiance    19
1006    affianced    affianced    13
1007    affiancer    affiancer    19
1008    affiant    affiant    118
1009    affidavit    affidavit    718
1010    affied    affied    18
1011    affiliate    affiliate    255
1012    affiliated    affiliated    218
1013    affiliation    affiliation    238
1014    affinage    affinage    8
1015    affined    affined    14
1016    affinity    affinity    209
1017    affirm    affirm    300
1018    affirmable    affirmable    7
1019    affirmably    affirmably    8
1020    affirmance    affirmance    8
1021    affirmant    affirmant    9
1022    affirmation    affirmation    178
1023    affirmative    affirmative    229
1024    affirmatively    affirmatively    17
1025    affirmed    affirmed    40
1026    affirmer    affirmer    8
1027    affix    affix    160
1028    affixion    affixion    12
1029    afflation    afflation    14
1030    afflatus    afflatus    9
1031    afflict    afflict    173
1032    afflictedness    afflictedness    22
